beta min,beta max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22

,,0.0 keV < E_tot < 100.0 keV:
36.87deg,53.13deg,0,3202,0,0,33,35,0,0,147,291,2700,0,0,42,22,3,2,2,9,538,819,1564,2994
53.13deg,90.0deg,0,3593,0,0,78,87,0,0,91,161,4645,2,0,50,32,6,1,1,3,583,303,1802,978

,,348.5078 keV < E_tot < 404.5489 keV:
-90.0deg,-53.13deg,0,4143,1,0,92,243,0,0,119,313,3949,1,0,63,42,3,0,6,1,430,250,1569,1069
-53.13deg,-36.87deg,0,3887,0,0,40,106,1,0,136,511,2236,0,0,36,33,0,6,4,6,336,710,1135,3235
-36.87deg,-23.58deg,0,3564,0,0,18,52,0,1,94,544,1494,0,0,44,19,1,7,0,9,154,795,691,4682
-23.58deg,-11.537deg,0,3206,0,0,15,40,2,0,72,573,1207,4,0,24,23,1,1,0,5,72,649,474,5368
-11.537deg,0.0deg,0,3142,0,0,10,34,0,0,76,538,1180,0,0,34,22,2,10,0,6,44,701,382,5819
0.0deg,11.537deg,0,3130,0,0,15,21,0,0,94,552,1168,0,0,33,22,0,4,0,5,66,649,386,5870
11.537deg,23.58deg,0,3143,0,0,20,23,0,1,134,548,1143,2,0,22,21,0,0,0,2,87,605,479,5302
23.58deg,36.87deg,0,3561,0,0,23,19,0,1,146,541,1471,2,0,25,14,0,3,1,6,170,758,713,4828
36.87deg,53.13deg,0,4094,0,0,52,67,0,0,174,396,2060,0,0,48,23,3,0,1,3,327,738,1251,3416
53.13deg,90.0deg,0,4608,0,0,147,154,0,2,111,270,3850,1,0,64,31,0,1,0,1,407,235,1546,992

,,404.5489 keV < E_tot < 446.833 keV:
-90.0deg,-53.13deg,0,5135,0,0,154,334,2,1,115,376,3381,2,0,65,39,2,0,4,1,327,231,1368,1097
-53.13deg,-36.87deg,0,4543,0,0,56,109,0,1,139,584,1744,1,0,46,39,1,1,3,3,217,578,869,3202
-36.87deg,-23.58deg,0,4184,0,0,31,90,0,0,99,665,1202,0,0,40,33,1,4,0,8,100,617,488,4744
-23.58deg,-11.537deg,0,3751,0,0,18,35,0,0,77,689,965,1,0,40,29,1,3,0,8,38,541,318,5068
-11.537deg,0.0deg,0,3595,0,0,14,37,0,0,55,659,965,1,0,40,21,0,2,1,4,31,450,229,5420
0.0deg,11.537deg,0,3512,0,0,27,30,0,0,57,704,977,0,0,24,25,0,1,1,4,31,406,270,5583
11.537deg,23.58deg,0,3713,0,0,13,48,0,0,92,691,1005,2,0,16,24,0,1,0,5,50,463,308,5324
23.58deg,36.87deg,0,4355,0,0,37,71,0,2,157,647,1212,2,0,32,26,0,4,0,6,85,542,498,4779
36.87deg,53.13deg,0,4837,0,0,58,87,1,0,188,534,1532,2,0,50,34,2,3,0,4,204,584,895,3400
53.13deg,90.0deg,0,5567,1,0,182,232,0,0,153,365,3221,0,0,52,39,1,1,2,2,345,254,1328,1100

,,446.833 keV < E_tot < 661.9864 keV:
-90.0deg,-53.13deg,0,5844,1,0,163,393,0,0,119,421,2781,1,0,78,33,1,0,2,0,270,232,1088,1078
-53.13deg,-36.87deg,0,5287,0,0,67,140,0,0,146,720,1502,1,0,32,31,1,1,0,2,140,570,726,3388
-36.87deg,-23.58deg,0,4646,0,0,19,87,0,0,119,761,1087,3,0,33,36,0,2,0,2,64,497,365,4497
-23.58deg,-11.537deg,0,4249,0,0,17,71,0,0,79,806,927,3,0,18,27,0,1,1,2,33,425,240,5171
-11.537deg,0.0deg,0,3716,0,0,18,34,0,0,55,679,837,1,0,20,19,0,3,1,3,17,326,163,4710
0.0deg,11.537deg,0,3680,0,0,28,32,0,0,58,678,764,0,0,20,7,0,4,0,7,16,283,155,4874
11.537deg,23.58deg,0,4281,0,0,22,43,0,0,94,788,950,1,0,26,14,1,5,0,4,29,391,229,5177
23.58deg,36.87deg,0,4885,0,0,34,55,0,0,144,731,1064,1,0,40,25,1,3,0,3,62,484,376,4609
36.87deg,53.13deg,0,5464,0,0,84,133,0,1,210,703,1383,0,0,45,26,1,1,1,5,165,538,707,3385
53.13deg,90.0deg,0,6453,1,0,183,302,0,0,171,381,2726,0,0,58,31,0,0,2,0,312,198,1151,1173
