beta min,beta max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44

,,0.0 keV < E_tot < 100.0 keV:
36.87deg,53.13deg,0,375,67,136,27,192,291,195,45,136,19,0,0,8,10,0,0,0,0,23,29,42,29,3,954,3479,745,8,61,52,16,40,15,0,0,27,7,4,3,0,0,1167,696,1905,1209
53.13deg,90.0deg,0,546,96,259,10,177,360,58,71,229,15,0,0,13,3,0,0,0,0,31,1,32,5,1,1240,5599,323,5,58,20,14,61,8,0,0,18,9,0,0,0,0,942,230,1650,380

,,219.1005 keV < E_tot < 284.3663 keV:
-90.0deg,-53.13deg,0,286,141,290,13,513,496,169,96,224,13,0,0,28,53,0,0,0,0,42,12,84,24,1,1113,4016,356,11,97,39,29,77,8,0,0,38,27,5,3,2,0,768,270,1978,708
-53.13deg,-36.87deg,0,114,72,140,40,460,469,556,48,82,30,0,0,15,24,0,0,0,0,35,48,88,88,0,874,1905,674,11,117,119,22,34,22,2,0,27,19,4,8,4,3,770,828,1974,2370
-36.87deg,-23.58deg,0,78,47,52,37,414,376,765,32,42,15,0,0,19,16,1,0,0,0,29,55,74,172,1,618,952,796,9,71,182,13,24,19,1,0,36,15,1,5,3,4,560,1125,1552,3633
-23.58deg,-11.537deg,0,58,29,27,29,325,272,960,34,22,17,0,0,10,12,0,0,0,0,27,61,45,195,1,540,533,774,9,71,214,10,9,20,1,0,23,26,4,7,4,3,487,1321,1269,4757
-11.537deg,0.0deg,0,48,22,19,26,323,237,954,12,24,27,0,0,9,13,0,0,0,0,23,68,43,195,1,455,409,711,12,53,244,14,8,18,1,0,31,21,0,6,5,7,405,1446,1163,5226
0.0deg,11.537deg,0,67,45,20,41,326,233,965,34,18,28,0,0,10,9,0,0,0,0,24,86,53,175,2,498,366,746,10,52,253,12,11,19,2,0,38,17,1,4,6,10,382,1513,1154,5153
11.537deg,23.58deg,0,156,34,24,56,365,266,919,42,28,25,0,0,10,6,0,0,0,0,23,84,46,173,0,515,531,760,2,66,226,17,6,26,2,0,31,19,0,3,0,8,434,1351,1339,4656
23.58deg,36.87deg,0,250,53,71,47,345,285,761,51,44,34,0,0,21,7,0,0,0,0,43,69,61,157,1,613,863,774,11,81,201,9,13,21,1,0,30,16,2,2,1,9,619,1179,1588,3779
36.87deg,53.13deg,0,399,114,146,45,375,512,515,96,126,50,0,0,27,23,0,0,0,0,56,55,71,87,1,865,1856,711,7,101,115,19,41,22,2,0,34,15,6,3,3,6,766,804,1994,2335
53.13deg,90.0deg,0,664,179,304,27,427,504,155,127,284,11,0,0,46,31,1,0,0,0,54,13,67,33,0,1133,3922,338,12,80,40,19,70,10,1,0,40,25,1,1,4,2,775,252,1992,736

,,284.3663 keV < E_tot < 348.5078 keV:
-90.0deg,-53.13deg,0,321,181,325,31,910,658,329,124,257,13,0,0,65,145,0,0,0,0,50,19,140,76,0,1039,3031,350,9,128,58,42,75,15,2,0,46,40,7,3,5,1,585,279,1806,989
-53.13deg,-36.87deg,0,157,108,125,46,811,594,984,70,87,40,0,0,23,58,0,0,0,0,52,57,125,229,3,702,1066,695,11,90,193,25,33,23,2,0,36,23,2,6,1,2,494,756,1571,2936
-36.87deg,-23.58deg,0,75,43,38,42,604,336,1378,39,28,31,0,0,21,30,0,0,1,0,31,76,54,320,2,461,421,577,8,76,289,11,17,24,5,0,24,31,0,7,3,5,262,972,1017,4440
-23.58deg,-11.537deg,0,42,35,28,39,535,220,1529,19,10,17,0,0,17,18,0,0,0,0,19,78,42,370,0,399,235,519,9,43,346,9,4,16,1,0,34,15,2,4,3,8,170,988,739,5504
-11.537deg,0.0deg,0,52,28,15,33,488,228,1583,26,4,13,0,0,10,14,0,0,0,0,15,79,49,406,1,357,162,518,14,43,379,8,7,21,3,0,28,26,1,5,0,10,167,926,663,6061
0.0deg,11.537deg,0,65,32,19,39,469,197,1598,26,11,19,0,0,13,16,0,0,0,0,16,95,39,360,0,323,133,506,6,45,390,12,2,9,2,0,34,23,3,8,0,9,159,884,637,6019
11.537deg,23.58deg,0,158,42,23,39,480,221,1520,24,15,38,0,0,12,24,0,2,0,0,20,100,57,343,1,360,202,510,8,43,375,10,4,20,4,0,14,20,2,8,2,6,166,984,787,5423
23.58deg,36.87deg,0,262,55,48,52,581,346,1285,52,21,37,0,0,20,24,0,0,0,0,26,100,76,282,0,466,366,551,8,80,273,17,8,23,1,0,37,22,1,6,2,5,266,1010,1018,4538
